Nom_commune;Code_Commune;Nom_commune;Code_Canton;Nom_Canton;Code_Canton
LE LOUROUX;37136;LE LOUROUX;3712;LIGUEIL;3712
lublé;37137;lublé;3705;CHATEAU LA VALLIERE;3705
LUSSAULT SUR LOIRE;37138;LUSSAULT SUR LOIRE;3701;AMBOISE;3701
LUYNES;37139;LUYNES;3736;LUYNES;3736
luzé;37140;luzé;3719;RICHELIEU;3719
luzillé;37141;luzillé;3703;BLERE;3703
maillé;37142;maillé;3720;STE MAURE DE TOURAINE;3720
MANTHELAN;37143;MANTHELAN;3712;LIGUEIL;3712
marçay;37144;marçay;3707;CHINON;3707
marcé sur esves;37145;marcé sur esves;3709;DESCARTES;3709
MARCILLY-SUR-MAULNE;37146;MARCILLY-SUR-MAULNE;3705;CHATEAU LA VALLIERE;3705
MARCILLY SUR VIENNE;37147;MARCILLY SUR VIENNE;3720;STE MAURE DE TOURAINE;3720
MARIGNY MARMANDE;37148;MARIGNY MARMANDE;3719;RICHELIEU;3719
MARRAY;37149;MARRAY;3717;NEUVY LE ROI;3717
mazières de touraine;37150;mazières de touraine;3711;LANGEAIS;3711
LA MEMBROLLE SUR CHOISILLE;37151;LA MEMBROLLE SUR CHOISILLE;3736;LUYNES;3736
METTRAY;37152;METTRAY;3736;LUYNES;3736
MONNAIE;37153;MONNAIE;3724;VOUVRAY;3724
MONTBAZON;37154;MONTBAZON;3714;MONTBAZON;3714
MONTHODON;37155;MONTHODON;3706;CHATEAU RENAULT;3706
MONTLOUIS SUR LOIRE;37156;MONTLOUIS SUR LOIRE;3737;MONTLOUIS SUR LOIRE;3737
montrésor;37157;montrésor;3715;montrésor;3715
MONTREUIL EN TOURAINE;37158;MONTREUIL EN TOURAINE;3701;AMBOISE;3701
MONTS;37159;MONTS;3714;MONTBAZON;3714
MORAND;37160;MORAND;3706;CHATEAU RENAULT;3706
MOSNES;37161;MOSNES;3701;AMBOISE;3701
MOUZAY;37162;MOUZAY;3712;LIGUEIL;3712
nazelles négron;37163;nazelles négron;3701;AMBOISE;3701
NEUIL;37165;NEUIL;3720;STE MAURE DE TOURAINE;3720
neuillé le lierre;37166;neuillé le lierre;3724;VOUVRAY;3724
neuillé pont pierre;37167;neuillé pont pierre;3716;neuillé pont pierre;3716
NEUILLY LE BRIGNON;37168;NEUILLY LE BRIGNON;3709;DESCARTES;3709
NEUVILLE SUR BRENNE;37169;NEUVILLE SUR BRENNE;3706;CHATEAU RENAULT;3706
NEUVY LE ROI;37170;NEUVY LE ROI;3717;NEUVY LE ROI;3717
NOIZAY;37171;NOIZAY;3724;VOUVRAY;3724
notre-dame d'oé;37172;notre-dame d'oé;3724;VOUVRAY;3724
NOUANS LES FONTAINES;37173;NOUANS LES FONTAINES;3715;MONTRESOR;3715
